projectcode,naam,contour,bedrijf.id,id,created,modified,bedrijf
"164748","Hertogstraat 62 te Nijmegen","MULTIPOLYGON(((188195.21502838802 428713.60763937334,188195.73999379168 428709.4076345979,188196.3698656349 428693.8676277532,188196.99982151983 428688.51262198796,188189.1248154238 428687.8826868971,188173.2697902236 428685.0478174212,188174.21481025874 428687.46280988806,188175.3698753711 428695.3378011883,188175.26491088208 428699.6428025074,188173.47997999116 428708.0428181307,188166.02498260717 428708.46287968685,188172.7450154302 428712.347824645,188178.62501696683 428712.4527761426,188185.1350237738 428713.18772250286,188194.9000309513 428713.92264200415))","1483117","4633589","2016-12-08T08:23:01.000Z","2017-04-01T23:53:57.000Z","1483117"
"163973","Bloemendalerpolder Weesp","MULTIPOLYGON(((132182.76634777858 481713.4564292761,132189.48582022346 481649.6163662183,132189.48473563488 481518.5763509574,132172.68367677048 481390.89647514164,132122.28244686953 481243.05687506025,132095.40216542623 481209.4570936232,132045.00193667313 481182.57750764163,131971.0817606083 481162.4181171066,131883.7216384862 481148.97883859905,131745.9616213181 481148.9799788007,131672.04183458159 481175.86059375823,131588.04221344637 481222.90129450074,131547.72248651783 481256.5016321411,131520.84276126558 481290.10185854504,131477.16336763912 481364.02222870686,131467.08370010337 481404.3423168416,131467.0843953575 481488.3423266413,131473.80472991825 481528.66227572935,131520.84543103966 481612.661896178,131557.80579718068 481656.34159536206,131604.84613676718 481696.6612107194,131675.40653490403 481743.7006321774,131749.3268778365 481784.02002504637,131813.1670526496 481804.17949899286,131873.64714361136 481814.25899957324,132068.52716786927 481814.25738656207,132145.80770588035 481878.09675435605))","1483117","4594175","2016-11-30T13:55:02.000Z","2017-04-02T22:06:08.000Z","1483117"
"164615","Kreitenmolenstraat 63-65 udenhout","MULTIPOLYGON(((138863.4686843939 402021.7515729448,138871.86867165778 402020.0715034303,138927.308519686 402000.7510436179,139045.7479049023 401924.31005688885,139075.14759005664 401885.6698094805,139074.30754143454 401879.789815671,139063.38753304363 401878.94990565657,139039.8675645469 401883.15010022564,139033.14759136786 401886.5101560891,138991.14784215766 401917.59050648974,138949.98797525017 401934.3908481724,138897.90833557147 401978.91128343035,138848.34848832953 401998.23169473134,138846.6685158247 402001.59170901356,138847.50875155834 402030.15170566685,138854.22875245774 402030.1516502283))","1483117","4555932","2016-11-25T10:47:01.000Z","2017-04-06T03:18:11.000Z","1483117"
"162736","Beekstraat te Arnhem","MULTIPOLYGON(((191073.17939977598 443742.8654542859,191077.3793967741 443742.4454195702,191080.73937980903 443740.34539161227,191084.93931785942 443732.78535616,191084.9391895618 443717.2453545648,191082.83908530377 443704.6453706097,191079.05900166475 443694.5654007795,191065.19878167572 443668.1055124855,191058.05872193657 443660.9655706956,191050.07866903942 443654.6656359338,191032.43860120105 443646.68578074273,191028.65859384683 443645.84581186844,191016.8985960103 443646.2659089974,191009.75861602352 443648.78596820455,191004.29865009314 443652.98601371504,191000.518705154 443659.7060456118,190995.8988294717 443674.8260853091,190995.89893002942 443687.00608655787,190998.41905513903 443702.12606731115,191003.0391492741 443713.4660303319,191011.01924378163 443724.80596561823,191020.67931420295 443733.2058867256,191034.1193815756 443741.1857765897,191060.1594711502 443751.68556268915,191065.61947869058 443752.52551769407))","1483117","4365681","2016-10-27T08:33:01.000Z","2017-04-02T02:10:51.000Z","1483117"
"163946","Beekseweg 101B te Didam","MULTIPOLYGON(((131964.2478544654 467396.4965543727,132394.30567450108 464708.4926778628,132286.739420783 459117.4529006275,131426.5490819677 455461.779574556,130673.898317055 454171.54564200074,129706.21019128688 453203.87352571834,128308.4482321795 452988.8450563742,126265.57152233746 453418.9420001789,125190.37849439407 454279.1109961702,123147.51956647649 456859.6082067362,122717.45373789553 458579.93197504245,122717.46974528277 460515.29221243114,121964.87145026171 465568.739056425,125405.52256975554 466858.95074822503,131211.6299962834 470084.50309925125))","1483117","4250805","2016-10-07T13:54:01.000Z","2017-10-16T01:05:45.000Z","1483117"
"162422","Amaliapark Utrecht","MULTIPOLYGON(((132516.87319463017 455942.250617017,132515.19297215983 455915.37062768574,132222.8709344165 455673.4530156733,132049.83071775732 455649.9344436181,132036.39074381557 455653.2945551531,132169.11277502094 455896.8934870317,132422.79373822125 456009.4514029827))","1483117","3786669","2016-06-29T12:29:03.000Z","2017-04-07T02:16:14.000Z","1483117"
"154136","Noordbroek 6 Almelo","MULTIPOLYGON(((239315.58031292015 486855.8909697917,239345.8202184381 486844.1307189782,239373.5401584364 486836.5704893185,239384.4600622358 486824.81039813405,239395.37977169157 486789.53030505346,239399.5796054852 486769.3702687192,239401.25943211405 486748.3702531365,239400.4193001637 486732.41025878565,239390.33904939762 486702.17033962195,239380.25892356606 486687.05042168987,239364.2987972116 486671.93055233266,239345.81868451432 486658.49070393655,239325.65858554895 486646.73086955806,239303.8185003157 486636.651049199,239282.81845680205 486631.6112223036,239245.01846037782 486632.45153470524,239230.7384729883 486634.13165283244,239205.53854709392 486643.3718618003,239195.45860866376 486650.9319457005,239187.05869120575 486661.01201592485,239180.3387947199 486673.61207247054,239168.57904354308 486703.852172089,239164.37927915755 486732.4122091087,239165.21948745806 486757.61220421054,239169.4195988857 486771.0521705983,239186.21982942976 486798.7720340283,239198.81996242743 486814.731931215,239225.70019386883 486842.4517113575,239238.30027133954 486851.691607992,239252.58032813724 486858.4114905508,239271.90036456072 486862.6113312531,239287.86036598077 486862.611199378))","1483117","3008610","2016-02-18T13:35:01.000Z","2017-04-02T22:43:15.000Z","1483117"
"153889","Petroleumhavenweg Amsterdam","MULTIPOLYGON(((118894.04443096764 491346.6875886178,118890.68359572922 491245.88760441035,118877.24248094187 491111.48769967514,118843.64139141816 490980.44796229334,118820.12108232793 490943.4881526697,118793.24091194317 490923.3283728781,118766.36088069124 490919.96859509003,118628.60094661369 490930.0497372027,118591.64102538228 490940.13004450744,118558.04121588643 490963.6503255908,118537.88143593079 490990.5304957658,118527.80168508776 491020.77058286057,118527.80246424236 491114.85059410834,118537.88293858658 491171.9705174496,118561.40338681776 491225.7303290834,118588.28369634178 491262.69011088146,118675.6442918432 491333.2493957915,118722.68446479854 491353.4090086164,118763.00449776137 491356.76867508714))","1483117","2219431","2015-10-02T11:33:01.000Z","2017-04-01T22:48:53.000Z","1483117"
"153366","Lindeboomweg 1 te Harreveld","MULTIPOLYGON(((232581.982474654 443812.9254352162,232574.63247463515 443804.10543520295,232562.55747460818 443814.1854352181,232561.19247460584 443819.0154352234,232573.26747463527 443824.79043524084))","1483117","2022718","2015-08-25T12:01:01.000Z","2017-10-08T11:28:44.000Z","1483117"
"1502151A00","Oestgeest","GEOMETRYCOLLECTION(MULTIPOLYGON(((93644.75229659017 466890.4271909508,93673.75479912346 466868.46057241556,93698.14299149445 466819.05063466507,93651.7333244899 466686.15837080864,93596.61802232575 466665.9577592229,93546.31684149269 466703.1528463307,93519.39551676059 466749.6916560563,93513.3456773825 466800.17474445835,93540.12863121585 466869.3708899882,93593.20486297568 466904.31544043025))),POLYGON((93444.15155418812 466882.60951155436,93381.01003021994 466791.11847395694,93455.39230513136 466773.0221039089,93491.1513889458 466830.6449997874,93494.52947456909 466875.6189150213,93452.83605496245 466885.51914859324,93444.15155418812 466882.60951155436)))","1483117","1831776","2015-07-09T09:48:01.000Z","2024-10-20T05:06:56.000Z","1483117"
